"","logFC","logCPM","LR","PValue","FDR"
"ENSGMOG00000019932",10.7024108364635,1.09973763852027,257.776756573261,5.23766814077929e-58,1.01846456997453e-53
"ENSGMOG00000018930",4.91989934010507,3.36753737555843,250.615353740951,1.90672325148831e-56,1.85381168125951e-52
"ENSGMOG00000002220",8.67084012852482,0.514605878716047,174.660782653588,7.10040999442849e-40,4.6022490780554e-36
"ENSGMOG00000002238",5.00877338617931,0.860125554234383,145.842229970071,1.40550411700754e-33,6.83250688880291e-30
"ENSGMOG00000002177",9.06575012829629,-0.449786530878956,144.798126607902,2.37736406614362e-33,9.24556885323255e-30
"ENSGMOG00000000665",6.118238516423,0.447764904637689,138.462897969066,5.77238455385228e-32,1.87073362749429e-28
"ENSGMOG00000016541",4.77057935162781,0.117580459857215,133.402187086159,7.38320731395292e-31,2.05094951742592e-27
"ENSGMOG00000007584",4.91676889740219,0.454511018813549,100.884678590267,9.74977927655143e-24,2.36980572540678e-20
"ENSGMOG00000003882",1.55194735705539,8.31854295929106,89.995365427234,2.387185582824e-21,5.15764707311252e-18
"ENSGMOG00000003237",1.96862061058864,2.0857445053435,58.6415967139351,1.89174372426173e-14,3.67849567182693e-11
"ENSGMOG00000012235",1.46870228090715,6.58672409764085,54.368322525741,1.66220889832812e-13,2.93833200254457e-10
"ENSGMOG00000011057",1.24506178184872,4.30352165742914,50.1433270776878,1.4291630337835e-12,2.17675093479474e-09
"ENSGMOG00000001225",2.94551665018519,-0.332976288730519,50.107802430065,1.45527190292268e-12,2.17675093479474e-09
"ENSGMOG00000018518",2.91193342671209,0.64021553222167,47.9447621244453,4.38397710330758e-12,5.86405452262645e-09
"ENSGMOG00000018489",5.85426022365803,-0.0963741408313552,47.8833057490653,4.52356995831303e-12,5.86405452262645e-09
"ENSGMOG00000019156",1.20926011994361,4.88059611099124,45.628277288116,1.42962757493724e-11,1.73744426216592e-08
"ENSGMOG00000014183",3.83742544556834,-0.446627035841412,44.842112113035,2.13579511939428e-11,2.38074026284022e-08
"ENSGMOG00000010875",1.04009885039062,6.78903347536367,44.7807183693862,2.20382230553478e-11,2.38074026284022e-08
"ENSGMOG00000001997",2.67514728536461,0.345871217338082,44.5660335845372,2.45921280576376e-11,2.5168101583198e-08
"ENSGMOG00000011389",6.56812842040729,-1.22833984971183,43.4989621290605,4.24184308748524e-11,4.12413194180753e-08
"ENSGMOG00000005292",1.62674960189425,1.83572756359452,40.6329267298314,1.83685189305119e-10,1.70083738382764e-07
"ENSGMOG00000006123",1.58256936655672,4.46830052341675,40.1313781283743,2.37444187499733e-10,2.09868282996923e-07
"ENSGMOG00000012229",1.48846699183136,3.042970303199,39.3184358986626,3.60025927078602e-10,3.04378441393192e-07
"ENSGMOG00000019728",1.55565825575013,6.08628879015323,37.248442915472,1.0399799621172e-09,8.42600431807041e-07
"ENSGMOG00000006684",5.55441087706283,-2.3069909765703,37.1491918483387,1.09428088097234e-09,8.51131669220289e-07
"ENSGMOG00000014761",5.68786871949889,-1.77324488903317,37.0289764777371,1.16386718326386e-09,8.70438360714068e-07
"ENSGMOG00000018986",1.47547603788224,2.9454857351875,35.9585068607134,2.01564437581775e-09,1.45163721806578e-06
"ENSGMOG00000002736",0.929177650651326,3.93373018040531,34.8744953785007,3.51657322504094e-09,2.44213451289004e-06
"ENSGMOG00000011698",5.44582270989746,-1.19005629019535,33.4977537657617,7.13463407133226e-09,4.78389515576055e-06
"ENSGMOG00000004365",5.62519520898493,-1.73802891884763,31.2583911052046,2.25869093511642e-08,1.46400817444462e-05
"ENSGMOG00000006688",4.92841479039984,-1.497688018974,29.8673708354487,4.62633311370639e-08,2.89867027382447e-05
"ENSGMOG00000009703",0.791672184805188,4.69837341282328,29.8079790758371,4.77024678644294e-08,2.89867027382447e-05
"ENSGMOG00000016259",0.630520579594894,4.13575428239773,29.5904883872253,5.33661719412621e-08,3.14456125272073e-05
"ENSGMOG00000010752",0.958080670138602,6.3253378349144,28.6698102468311,8.58314301608988e-08,4.90880046905493e-05
"ENSGMOG00000009781",0.979475105795966,1.77999134036538,28.2724737786058,1.0538395647437e-07,5.85483152469749e-05
"ENSGMOG00000018391",1.2250900189529,3.04863641065241,28.1672054258196,1.11274077041241e-07,6.01034563351928e-05
