"","logFC","logCPM","LR","PValue","FDR"
"ENSGMOG00000011389",6.83350219145196,-1.12574122365301,44.6363899735804,2.37241002692963e-11,4.61742163541314e-07
"ENSGMOG00000016377",2.20246092258491,-0.476494126032477,23.7253186582808,1.11111155117449e-06,0.0108127820602545
"ENSGMOG00000013044",3.17763760010877,1.19511221350511,19.5701755650797,9.69712201940833e-06,0.0596657762648318
"ENSGMOG00000013821",-3.28582789624508,-1.66926986664989,18.9820526927093,1.31953797340661e-05,0.0596657762648318
"ENSGMOG00000018638",5.55275695916279,-1.13065232968574,18.6962952496348,1.53280008901073e-05,0.0596657762648318
"ENSGMOG00000015850",5.47431538872495,-3.24808039614428,18.2393580075492,1.94811334092206e-05,0.0631935499239435
"ENSGMOG00000019528",1.38950655553337,1.27729738009052,17.8387330563905,2.40438690495806e-05,0.066852260473141
"ENSGMOG00000001580",3.45268476439422,-2.57514707456437,16.3948849609517,5.14238131969502e-05,0.12510770953153
"ENSGMOG00000000370",-3.68726654985028,-3.38733324935393,15.7210219122686,7.34038275847126e-05,0.145458120310525
"ENSGMOG00000016366",-1.63347511790819,1.63974048482831,15.6870092831697,7.4735714078264e-05,0.145458120310525
"ENSGMOG00000015849",5.63146376954693,-1.69634546919584,15.2223686850158,9.55647322594167e-05,0.169088762178639
"ENSGMOG00000010168",1.20366484498572,1.24580358664205,15.0207156011737,0.00010633747828639,0.172470528324
"ENSGMOG00000001440",2.54220538765086,3.30159406495728,14.8158265146704,0.000118536532348803,0.17746742531575
"ENSGMOG00000019963",4.20138155815559,-1.33730949362626,14.5370968473429,0.000137426603813083,0.191052427858145
"ENSGMOG00000000318",1.0407083242744,5.53673634699108,13.6817354443544,0.00021655038994666,0.280981349302122
"ENSGMOG00000011415",3.18497804765812,-2.46960751586088,13.5483604920023,0.000232494425303796,0.282814937480487
"ENSGMOG00000013161",4.80169614568571,-1.54485581843941,13.2560859490714,0.000271696344276259,0.31106034992052
"ENSGMOG00000017715",3.53995584937268,-1.73713596230671,12.9504055959844,0.000319852188401777,0.335857941037868
"ENSGMOG00000010930",3.36568864593033,-1.68726939788061,12.9040705403327,0.000327868308057314,0.335857941037868
"ENSGMOG00000007428",1.75042121617534,3.56259192283377,12.7591952162898,0.000354263287180542,0.344751317919745
"ENSGMOG00000001121",4.74857106041833,-3.46985326104284,12.6624397411489,0.000373075060157553,0.345769518849832
"ENSGMOG00000004059",-3.8287501843211,-3.83629735127749,12.4082970166475,0.000427430482967237,0.372515636170781
"ENSGMOG00000010286",1.63882005580549,5.64332625596528,12.3268993334678,0.000446477414178783,0.372515636170781
"ENSGMOG00000016287",4.36606936786554,-3.92378239730734,12.2213278683644,0.000472462926301411,0.372515636170781
"ENSGMOG00000013406",-4.23489811796303,-3.66597596840942,12.0565766570132,0.000516099797412475,0.372515636170781
"ENSGMOG00000009502",2.71917117191928,1.96221336033727,12.0448044536987,0.000519369350481574,0.372515636170781
"ENSGMOG00000016459",-4.21261367201744,-3.94091225305631,12.0116337056339,0.000528694933413468,0.372515636170781
"ENSGMOG00000012149",-1.2827611967184,-0.132060325462288,11.9863689058634,0.000535911103775464,0.372515636170781
"ENSGMOG00000006596",-4.56165995515792,-3.81546359536033,11.6509244936849,0.000641706360089864,0.429413265695067
"ENSGMOG00000013670",3.31772512786423,-2.23114613846322,11.5719861501582,0.000669528653872153,0.429413265695067
"ENSGMOG00000013622",-4.29474244913033,-3.81445847516134,11.5323507339996,0.000683954746778352,0.429413265695067
"ENSGMOG00000007764",4.04045096110169,-4.13246717808171,11.3776731994897,0.000743321717568364,0.445497915316395
"ENSGMOG00000006769",-3.84531630633878,-3.48937414738319,11.3148404032868,0.000768900697048345,0.445497915316395
"ENSGMOG00000015725",2.03377992284794,2.38333776363959,11.2834994997255,0.000781990106795658,0.445497915316395
"ENSGMOG00000011347",-4.47669718821335,-3.82618464446562,11.2386090106079,0.000801131738995726,0.445497915316395
"ENSGMOG00000019096",3.98611963913104,-1.31790978951973,11.0239725299275,0.000899411171202164,0.472317443046754
"ENSGMOG00000002339",-3.87122323776062,-3.9581793668361,11.0035255963429,0.000909387430382455,0.472317443046754
"ENSGMOG00000011352",2.61299850968668,-3.10023739264414,10.9776695110284,0.000922163224362978,0.472317443046754
"ENSGMOG00000017756",0.865675567337852,1.59993128710273,10.9249578773596,0.000948773603276642,0.473486683091623
"ENSGMOG00000007956",4.03143933529919,-4.05053704381258,10.8387658584041,0.000993969589772424,0.483640753143517
"ENSGMOG00000002392",1.28308290501194,-1.59969628566905,10.6434657701152,0.00110460478112211,0.524363972072673
"ENSGMOG00000015419",1.95938325617792,-2.77540456757146,10.5287579350796,0.00117531176151653,0.544645067009435
"ENSGMOG00000013590",-3.53550219232809,-3.10479349903768,10.2703269838706,0.0013518684160825,0.607766666182589
"ENSGMOG00000005504",1.73912405512623,1.72318596931113,10.1818041940394,0.00141833331415488,0.607766666182589
"ENSGMOG00000017156",4.03659144682253,-4.03138387562925,10.0784952144308,0.00150009792467472,0.607766666182589
"ENSGMOG00000010248",2.5503863182906,-3.16097060586485,10.0464714359797,0.00152640031747536,0.607766666182589
"ENSGMOG00000009698",2.09496517458335,-2.9931859720042,10.0156175011211,0.00155218365949794,0.607766666182589
"ENSGMOG00000000674",-4.1467454329395,-3.83874107514169,10.0054840647378,0.00156074762507514,0.607766666182589
"ENSGMOG00000017642",1.81792256723487,-2.77448505511424,10.0048540336694,0.00156128165422602,0.607766666182589
"ENSGMOG00000013637",3.16308987138974,1.53782986004145,9.98935027189859,0.00157448148230919,0.607766666182589
"ENSGMOG00000007144",-2.58641932352671,-3.10360583703326,9.96832235666285,0.00159256537919704,0.607766666182589
"ENSGMOG00000013168",1.42683372388091,-0.834306634825833,9.90081575232692,0.00165205523893714,0.618345213758339
"ENSGMOG00000013625",2.18837618790681,4.36467576073326,9.6814270265134,0.00186140003188543,0.683555260765776
"ENSGMOG00000008667",3.96015838023998,-4.0627600795588,9.64132370416698,0.00190248083755364,0.685703417431603
"ENSGMOG00000014542",1.70601129901404,4.48076339686569,9.51419892156097,0.00203888091102286,0.717651327409727
"ENSGMOG00000017890",0.750010624167931,0.702555535566254,9.49096191602985,0.00206486535143322,0.717651327409727
"ENSGMOG00000018111",4.23164968224236,-3.89618369057184,9.30305567486041,0.0022877196740609,0.739332630500878
"ENSGMOG00000010426",1.19190369456113,-1.35567479681278,9.28128856528537,0.00231506514124088,0.739332630500878
"ENSGMOG00000014439",1.61900105850741,2.03751132882195,9.21779225522228,0.00239674389810353,0.739332630500878
"ENSGMOG00000017770",-3.66602582205554,-3.89746710323088,9.21441403841786,0.0024011705219002,0.739332630500878
"ENSGMOG00000010804",-3.76211848034218,-4.14110379181883,9.20682451404443,0.00241114568426629,0.739332630500878
"ENSGMOG00000011342",3.68338363350107,-4.13594784950972,9.20049735512382,0.00241949381326955,0.739332630500878
"ENSGMOG00000014839",-3.5718452042633,-4.23142799356384,9.18195601287231,0.00244412679196387,0.739332630500878
"ENSGMOG00000010366",0.873368198913916,1.19691674348605,9.17177294860014,0.0024577635513306,0.739332630500878
"ENSGMOG00000019854",3.78456079797516,-3.96831720165549,9.16333106646735,0.0024691271120874,0.739332630500878
"ENSGMOG00000011002",3.798851415292,-4.03131759830632,9.09800572804973,0.0025588834710378,0.743335782222806
"ENSGMOG00000012116",2.18757100225082,-2.36661728442271,9.07998259817122,0.00258422508124903,0.743335782222806
"ENSGMOG00000005529",3.87914693627655,-4.15734501062908,9.07091343533111,0.00259707307152807,0.743335782222806
"ENSGMOG00000012359",-2.45420428916843,-3.40197575821555,8.9975625231759,0.00270339934502777,0.754144677925446
"ENSGMOG00000018130",3.21960495733105,-3.515364848187,8.97337423897886,0.00273942222532983,0.754144677925446
"ENSGMOG00000016989",2.27392380045357,-2.66489563337763,8.96561544351937,0.00275108010752231,0.754144677925446
"ENSGMOG00000001538",-3.14202231561561,-3.52585483246385,8.92370674658881,0.00281492612613326,0.75459620966363
"ENSGMOG00000001057",-3.55076951292501,-4.24793957428713,8.8980749900966,0.00285471450612358,0.75459620966363
"ENSGMOG00000013769",3.12239972506187,-0.776660152051396,8.88893540870204,0.00286903969147144,0.75459620966363
"ENSGMOG00000000060",-1.34079405646243,-1.5933934289184,8.81548946515562,0.00298684078181054,0.768179079016681
"ENSGMOG00000014325",-3.10088789809104,-3.91466792397745,8.786310695805,0.00303499420846365,0.768179079016681
"ENSGMOG00000008839",2.1445525923611,-1.85823253525992,8.76078704227464,0.00307776202321831,0.768179079016681
"ENSGMOG00000014922",3.14096292159837,1.71509486764385,8.72118778749555,0.00314533056192038,0.768179079016681
"ENSGMOG00000011009",1.6338605629584,4.83796740887913,8.71814309843242,0.0031505877299985,0.768179079016681
"ENSGMOG00000012417",1.41831639967058,-1.81500961478192,8.69253720616437,0.00319515543557989,0.768179079016681
"ENSGMOG00000015762",1.96131739709119,-3.09970260213641,8.68531420269973,0.00320784272664379,0.768179079016681
"ENSGMOG00000017182",2.24625514455151,-3.05410776961482,8.66805080117499,0.00323837390957953,0.768179079016681
"ENSGMOG00000016176",3.70654914561041,-4.20031902011377,8.64705679897268,0.00327590112307376,0.768179079016681
"ENSGMOG00000002577",3.71983010842389,-4.0906519839989,8.5981838801311,0.00336498400168437,0.77967480505694
"ENSGMOG00000007175",3.72838759834308,-4.08591296747608,8.45337503019154,0.00364366648075816,0.83431389076466
"ENSGMOG00000009312",-2.09485604259829,-3.02886792686635,8.40213645393879,0.00374780285191459,0.847268285285067
"ENSGMOG00000004895",1.24067245281414,-0.161600631161285,8.3830773818129,0.00378730621280383,0.847268285285067
"ENSGMOG00000017625",-1.16570370196378,-1.91239631678165,8.33089109254864,0.00389765343876893,0.861288997352732
"ENSGMOG00000003234",2.80553260943736,-2.7024633782408,8.301602937931,0.00396101024429735,0.861288997352732
"ENSGMOG00000003494",3.63981688809149,-4.05474790781508,8.29166888720056,0.00398273697588994,0.861288997352732
"ENSGMOG00000006831",3.52493444903942,-4.17001796724379,8.26611304614707,0.00403918901435389,0.863282893333145
"ENSGMOG00000014819",2.31608046153561,-0.41638631485744,8.23004452053032,0.00412025190314735,0.863282893333145
"ENSGMOG00000014896",-1.2900617357911,-1.43167346271752,8.20965789409192,0.00416680063601048,0.863282893333145
"ENSGMOG00000009653",1.19972990293799,-1.62853445796694,8.20853615490747,0.00416937738135517,0.863282893333145
"ENSGMOG00000016118",-3.431665924083,-4.15553529617428,8.130338421982,0.00435306211705935,0.878181516310344
"ENSGMOG00000011407",-1.43376992916082,-2.72896434348976,8.11863334362537,0.00438125747120673,0.878181516310344
"ENSGMOG00000000180",1.35237255821806,-1.503870317395,8.10487585182677,0.00441463451763156,0.878181516310344
"ENSGMOG00000000665",2.92129364346955,-2.11864732125752,8.10192994564565,0.0044218151671589,0.878181516310344
"ENSGMOG00000015031",-2.27695551692533,-3.39817621023602,8.06293275698905,0.00451799933303616,0.888220414332148
"ENSGMOG00000013257",0.938326751479774,-1.27480958481016,7.9338142003422,0.00485194127531736,0.935361431006018
