"","logFC","logCPM","LR","PValue","FDR"
"ENSGMOG00000002220",9.66785925231427,0.232668658769882,97.1936709326975,6.28672899714985e-23,1.22075703666656e-18
"ENSGMOG00000018930",4.30478430276164,2.81828538178337,88.9724375800777,4.00351865348772e-21,3.88701626067123e-17
"ENSGMOG00000004390",6.5141814892181,3.35280132634878,76.4457823223594,2.26342603219856e-18,1.46504022310772e-14
"ENSGMOG00000013507",4.49536808323419,3.55197656723251,65.8626888021835,4.83457804384526e-16,2.34694591138468e-12
"ENSGMOG00000002177",7.66352991531517,-1.56356439774793,47.605234959727,5.21290932731706e-12,2.02448546635685e-08
"ENSGMOG00000009446",4.69409110627002,1.98473900332894,44.1525240862646,3.03759858366322e-11,9.30128854244755e-08
"ENSGMOG00000000665",5.52465734803246,-0.0581985428456322,43.9591430356523,3.35302398790467e-11,9.30128854244755e-08
"ENSGMOG00000007584",3.87125960225703,-0.016532715019296,36.998084083732,1.18245378350015e-09,2.87011094600074e-06
"ENSGMOG00000011389",7.11698565041951,-0.686998637074414,36.7066417481769,1.37310825098634e-09,2.96255733529475e-06
"ENSGMOG00000016966",5.09892990946007,8.7718676645076,35.6758527444432,2.33034695624077e-09,4.52506771962833e-06
"ENSGMOG00000019370",6.96705291427694,-2.09882182384261,33.5653968092362,6.89077486400705e-09,1.21640969372081e-05
"ENSGMOG00000001997",2.67495610947594,0.433125932711531,30.3208593476658,3.66166857023835e-08,5.92519002474069e-05
"ENSGMOG00000012235",1.4963959327301,6.490447746519,27.0243810524529,2.00905328244807e-07,0.000287006942951565
"ENSGMOG00000011698",5.6126487972982,-1.46330076099547,26.9673028559812,2.0692641885477e-07,0.000287006942951565
"ENSGMOG00000016012",5.19139987111745,5.11490870016406,26.3996244572477,2.77594448712999e-07,0.000359355267007268
"ENSGMOG00000006684",5.72407702117558,-2.42320821215707,25.5501332200733,4.31036291467988e-07,0.000523116419232837
"ENSGMOG00000016347",4.82323980429415,6.06315251332637,24.9747440280446,5.8086238316727e-07,0.000663481515078944
"ENSGMOG00000015291",3.17433151409681,2.85422774225248,22.543183373167,2.05472327138104e-06,0.00215590019642104
