"","logFC","logCPM","LR","PValue","FDR"
"ENSGMOG00000018930",4.24629302096371,2.71820897928129,188.927765767362,5.44979305584245e-43,1.05159206805536e-38
"ENSGMOG00000002238",4.70153635686473,0.579530503192504,114.241440802592,1.15369978217491e-26,1.11308954984235e-22
"ENSGMOG00000004390",6.30770198029315,3.14883909109057,111.640782348813,4.28286263991176e-26,2.75473724999124e-22
"ENSGMOG00000007584",4.39751850901939,-0.642449873181468,64.997534992736,7.49918205919225e-16,3.61760542535434e-12
"ENSGMOG00000002220",6.62433460114164,-1.08659935879503,58.3506074412114,2.19328920870962e-14,8.46434171425218e-11
"ENSGMOG00000016541",4.2069082302958,-0.828801357540671,56.0198485865333,7.17430580292686e-14,2.27878281463625e-10
"ENSGMOG00000013507",5.02517708820993,3.26343376291351,55.7412049726357,8.26672870152039e-14,2.27878281463625e-10
"ENSGMOG00000002177",7.4135006293946,-1.79893069186203,54.1433587749738,1.86382761897828e-13,4.49555221697561e-10
"ENSGMOG00000001997",3.06501242457633,1.10543381461857,52.1791259722456,5.06618170917219e-13,1.08618935844652e-09
"ENSGMOG00000012449",1.4623094593282,5.13934132116173,42.8989605155207,5.76412774418423e-11,1.05297059613623e-07
"ENSGMOG00000015291",2.81050213631728,2.24989441425865,42.8196453674114,6.00263088593416e-11,1.05297059613623e-07
"ENSGMOG00000003882",1.18737603143847,8.02139974115359,41.0025033034925,1.52034362464161e-10,2.44471254842372e-07
"ENSGMOG00000003237",1.62335421496793,1.76644563327012,38.7841597067636,4.73353545846436e-10,7.02602309280988e-07
"ENSGMOG00000011698",6.91404977924971,-2.14948721069955,38.4451374799231,5.63147188791204e-10,7.76177725351076e-07
"ENSGMOG00000012235",1.37147138691611,6.58310163383477,38.2014900067385,6.38036819904369e-10,8.2077056512498e-07
"ENSGMOG00000017460",2.29651398625647,0.151965668435889,35.7573634082591,2.234856866427e-09,2.69523738091096e-06
"ENSGMOG00000018518",2.332899020448,0.286873212676496,35.3712999699042,2.72472417918231e-09,3.09272222126482e-06
"ENSGMOG00000016966",5.51629190012073,9.49503563672823,33.9515606017133,5.65013480978062e-09,5.93542308368472e-06
"ENSGMOG00000006684",6.5325008634266,-2.41974012150663,33.8857989102688,5.84437389044412e-09,5.93542308368472e-06
"ENSGMOG00000012239",5.22519850058126,6.30724220061898,29.2520371060197,6.35493804385393e-08,6.13124422471027e-05
"ENSGMOG00000001225",3.18042048493129,-0.455234426822211,29.1454005590901,6.71449537946241e-08,6.16966204010032e-05
"ENSGMOG00000009446",4.5682215010304,0.878060364499728,25.1901102019968,5.1947904913657e-07,0.000455630351460876
"ENSGMOG00000009781",0.95034902379653,1.65301580786768,25.0814090438973,5.49601849113943e-07,0.000461092055674028
"ENSGMOG00000019835",1.20005893570831,2.83894351468074,24.7408564023556,6.55791701982201e-07,0.000527256528393689
"ENSGMOG00000018986",0.967327245151211,2.97485221364169,24.0953999975777,9.167903838848e-07,0.000707615489897644
"ENSGMOG00000005264",1.51076901083725,0.525400728938942,23.2239095100518,1.44193414971104e-06,0.00103647351049833
"ENSGMOG00000000665",6.51096310280132,-0.86195608658667,23.2127981459772,1.45028942700325e-06,0.00103647351049833
"ENSGMOG00000005292",1.50710760648883,2.01818026821379,22.1949768987647,2.46317382826254e-06,0.00169747864964836
"ENSGMOG00000003971",0.835986200704813,7.13659198665096,21.9086415078102,2.85943380991303e-06,0.00190260809641661
"ENSGMOG00000012244",3.71506838371815,8.3256218109225,21.8172266731013,2.99895436779282e-06,0.00192892744936434
"ENSGMOG00000006123",1.24182776182627,3.36324885185528,21.0261991291473,4.53045754389759e-06,0.00281999060538864
"ENSGMOG00000011560",1.13492819423627,1.61266490175629,20.0902484971197,7.3872371259274e-06,0.00445450398693422
"ENSGMOG00000019932",7.04688440332067,-0.298516283449876,19.9457909881148,7.96691458492888e-06,0.0046584722372966
"ENSGMOG00000009714",0.729739183386247,5.66205080399436,19.6801601562197,9.15469053212156e-06,0.00519555613258287
"ENSGMOG00000009114",1.08713850290422,1.10880941904585,19.3810560116555,1.07063850148896e-05,0.00590258300706601
"ENSGMOG00000014405",3.44283058494906,-2.27477700413985,18.1982909588602,1.99057377689625e-05,0.0104249007263589
"ENSGMOG00000006917",5.34361168501805,-3.29452241845731,18.190274185732,1.99897039218118e-05,0.0104249007263589
"ENSGMOG00000004684",0.969219741568214,3.95325651908066,18.0703387203511,2.12892208412109e-05,0.0108104422461054
"ENSGMOG00000014936",1.36846962698382,0.827718970851709,17.8003167455939,2.45342397160472e-05,0.0121387869118166
"ENSGMOG00000015850",5.42995526045444,-3.47616259446383,17.7046759906233,2.579916296451e-05,0.0124455162140796
"ENSGMOG00000016347",4.97923840484232,6.69556291010302,17.2615523174524,3.25711142386145e-05,0.0153290785450806
"ENSGMOG00000010875",0.765642220732711,6.57297295415488,17.1535212305355,3.44769689551557e-05,0.0158397045942544
"ENSGMOG00000010366",1.04400321672698,1.4544914924423,17.0031604049748,3.73176511059039e-05,0.0167460789706866
"ENSGMOG00000019929",1.77830943370908,3.02890544613428,16.8395912567006,4.06758015587249e-05,0.0178381878835717
"ENSGMOG00000001475",2.33194839366578,-0.381745591709294,16.5101082443909,4.83914013149779e-05,0.0207502328838625
"ENSGMOG00000019745",4.81823787896706,-3.59228638419128,15.8842485455639,6.73368147244641e-05,0.0282463299331143
"ENSGMOG00000001177",-4.23957614659201,-2.69844610303662,15.2373835672701,9.48079701181564e-05,0.0385959972703802
"ENSGMOG00000010752",0.695946428527751,6.18538428321001,15.2135910713535,9.60099434586573e-05,0.0385959972703802
"ENSGMOG00000018564",1.24882904100571,1.20772746020015,15.0937171897557,0.00010230321104303,0.0397393766630007
"ENSGMOG00000014898",3.65989789503554,2.81301569798772,15.0813969457417,0.000102973094586963,0.0397393766630007
"ENSGMOG00000012451",2.20219741979807,-0.194774969529789,15.0264843107272,0.000106012937991237,0.0401103068917435
"ENSGMOG00000009785",0.956844158410666,1.76538367549934,14.9692963882578,0.000109274801276017,0.0405493570273465
"ENSGMOG00000020462",4.20975703280545,-3.14100034128952,14.5931926312511,0.000133395552911879,0.0477406117189881
"ENSGMOG00000020593",2.28369143499022,-2.81536341210391,14.5698862717259,0.000135055692427996,0.0477406117189881
"ENSGMOG00000005529",4.91833693402134,-3.4749103393112,14.5552520822515,0.000136108718530064,0.0477406117189881
"ENSGMOG00000020045",-1.27058392415762,0.0709530833017252,14.4925660813498,0.000140713749572016,0.0477406117189881
"ENSGMOG00000008414",0.577227767199058,5.19902603865086,14.4884064493249,0.000141024816955966,0.0477406117189881
"ENSGMOG00000014183",3.18305470259807,-0.588228196786412,14.4419140812741,0.000144549107765538,0.0480899928179969
"ENSGMOG00000006837",0.762039659899842,2.74104650563232,14.3446090468441,0.000152214919255166,0.0497820183380962
"ENSGMOG00000002650",0.829642426654754,2.53351569433072,14.2219317724312,0.000162465918679879,0.0514558754054554
"ENSGMOG00000009972",2.78740844866733,-1.00741858226251,14.219612503115,0.000162666272788805,0.0514558754054554
"ENSGMOG00000016012",5.00393011729496,5.01263701576335,14.1441233904307,0.000169325195457305,0.0526983705087768
"ENSGMOG00000011584",5.66747182846095,-2.33138548393261,14.0100021905856,0.000181840755682364,0.0556952257404268
"ENSGMOG00000014528",1.17514915372923,0.0126389889943345,13.9119397468097,0.000191577618300743,0.0577606519176741
"ENSGMOG00000016366",3.65838498445074,5.73408796595086,13.8239503407974,0.000200760711950586,0.0587677882520999
"ENSGMOG00000002517",0.702886149484851,5.8491639083117,13.8216258975003,0.00020100922598666,0.0587677882520999
"ENSGMOG00000003928",4.56913837994763,-2.45289437981478,13.5112110985935,0.000237142444838213,0.0677736484767245
"ENSGMOG00000013035",0.627174911238756,4.84347216718463,13.4767790684547,0.000241534065975076,0.0677736484767245
"ENSGMOG00000012109",-3.26091835356576,-3.16089615818702,13.470452925002,0.000242349800212168,0.0677736484767245
"ENSGMOG00000002736",0.788852657969516,3.73722851071765,13.3909887973501,0.000252836065494762,0.0696960674255274
"ENSGMOG00000003782",2.30082879296058,-2.60178083747693,13.3635717495244,0.000256559222111946,0.0697262922517199
"ENSGMOG00000019633",-0.69131730414544,2.58433555927032,13.043858957338,0.000304280485856216,0.0815471702094659
"ENSGMOG00000000448",-4.40670638315116,-3.90431107714417,12.9940967020475,0.000312474556105196,0.0825960141726831
"ENSGMOG00000014761",4.14783450882843,-3.27026449658775,12.9402591542076,0.000321590487753595,0.0838568925904509
"ENSGMOG00000020374",-1.16506033011189,-0.22397688499724,12.7950736806751,0.000347533295467391,0.0894133662578503
"ENSGMOG00000003762",1.07270280885464,0.666103386950895,12.7251796274069,0.000360765203499943,0.0915963864044065
"ENSGMOG00000012229",0.918904672449697,2.85292266785693,12.5748354328122,0.000390975670357567,0.0979774874703845
"ENSGMOG00000005228",1.99504916427687,-0.250507704822466,12.4387899634353,0.000420508133936207,0.104027242979911
"ENSGMOG00000005761",3.16982566177086,-2.59497112600208,12.3588110203164,0.000438910121912356,0.107205186233175
"ENSGMOG00000014498",-1.66300737072699,-1.08230664018937,12.2030278353972,0.000477120142986721,0.115081378488397
"ENSGMOG00000011568",-1.68723181548705,-1.57690833763632,12.170335621432,0.000485555686625273,0.11567015468051
